Document_ID,File_Name,Extension,Folder,Relative_Path,Absolute_Path,File_Size_Bytes,File_Size_MB,Last_Modified,MIME_Type,Readable,Department,Category,SHA256,Duplicate,Manufacturer
DOC00001,86261.jpg,.jpg,equipment_labels,data/raw/images/equipment_labels/86261.jpg,/content/drive/MyDrive/Hackathon_pro/data/raw/images/equipment_labels/86261.jpg,10120,0.01,2026-07-11 10:03:19,image/jpeg,True,Operations,OCR Image,578d59e531b73c62d0f7a4ad3a28be79b7f996fcaaa077ee2c82bede71e36e86,False,Nexus Industrial
DOC00002,86797.jpg,.jpg,equipment_labels,data/raw/images/equipment_labels/86797.jpg,/content/drive/MyDrive/Hackathon_pro/data/raw/images/equipment_labels/86797.jpg,7263,0.01,2026-07-11 10:02:46,image/jpeg,True,Operations,OCR Image,a17eac2aeeceed94543ed66c3d56ff47214c493574c80916090a5dfffc57a2b3,False,Nexus Industrial
DOC00003,86798.jpg,.jpg,equipment_labels,data/raw/images/equipment_labels/86798.jpg,/content/drive/MyDrive/Hackathon_pro/data/raw/images/equipment_labels/86798.jpg,7689,0.01,2026-07-11 10:02:59,image/jpeg,True,Operations,OCR Image,fa93c3655bba07c8570e493f6d9d6a2acd8df89fcf435d6ee11eb7a43c0f5a9f,False,Nexus Industrial
DOC00004,86801.jpg,.jpg,equipment_labels,data/raw/images/equipment_labels/86801.jpg,/content/drive/MyDrive/Hackathon_pro/data/raw/images/equipment_labels/86801.jpg,5798,0.01,2026-07-11 10:03:38,image/jpeg,True,Operations,OCR Image,4207043b7303c962d04a9dee84f73a8827df40254596c1edcbd50067b2ce7f2d,False,Nexus Industrial
DOC00005,86808.jpg,.jpg,equipment_labels,data/raw/images/equipment_labels/86808.jpg,/content/drive/MyDrive/Hackathon_pro/data/raw/images/equipment_labels/86808.jpg,6020,0.01,2026-07-11 10:03:31,image/jpeg,True,Operations,OCR Image,b3568921a6c57f8fb896b58f4ba08fbb7bb0b498b3683f797b9d3173ccb31264,False,Nexus Industrial
DOC00006,86839.jpg,.jpg,equipment_labels,data/raw/images/equipment_labels/86839.jpg,/content/drive/MyDrive/Hackathon_pro/data/raw/images/equipment_labels/86839.jpg,6696,0.01,2026-07-11 10:04:20,image/jpeg,True,Operations,OCR Image,fe7694b1cd6c6cb2fe65e2ae5f497a892a01fe4e55753fa63a0753d1279c8ddb,False,Nexus Industrial
DOC00007,86860.jpg,.jpg,equipment_labels,data/raw/images/equipment_labels/86860.jpg,/content/drive/MyDrive/Hackathon_pro/data/raw/images/equipment_labels/86860.jpg,6801,0.01,2026-07-11 10:02:52,image/jpeg,True,Operations,OCR Image,0f89d7bda7da7238504e55ecab08da22b5a26d98af071bc77b88c2d6677d7b47,False,Nexus Industrial
DOC00008,86861.jpg,.jpg,equipment_labels,data/raw/images/equipment_labels/86861.jpg,/content/drive/MyDrive/Hackathon_pro/data/raw/images/equipment_labels/86861.jpg,6290,0.01,2026-07-11 10:01:38,image/jpeg,True,Operations,OCR Image,59b799cc944602cb2fb8be1c4a40c862bbce4bb7936251f92686989a2d57137a,False,Nexus Industrial
DOC00009,86868.jpg,.jpg,equipment_labels,data/raw/images/equipment_labels/86868.jpg,/content/drive/MyDrive/Hackathon_pro/data/raw/images/equipment_labels/86868.jpg,6656,0.01,2026-07-11 10:01:14,image/jpeg,True,Operations,OCR Image,f235b5706065ad7985bf2cfa718d78e0a1bee12b88a8bbb5c13be3cf9f4d88e2,False,Nexus Industrial
DOC00010,86877.jpg,.jpg,equipment_labels,data/raw/images/equipment_labels/86877.jpg,/content/drive/MyDrive/Hackathon_pro/data/raw/images/equipment_labels/86877.jpg,7727,0.01,2026-07-11 10:03:55,image/jpeg,True,Operations,OCR Image,8921d5f1e4ea040c69ecc97b9e233b501e2770f95cf93c9eb74d139f033ce92c,False,Nexus Industrial
